web-scraper-order,web-scraper-start-url,Product_name,Product_price,Product_sold
"1737812818-1","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Jeans Pendek Pria Slim by HNM","158.079","47 sold"
"1737812818-2","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Pendek Utility Pria Water-repellent by UNQ","177.330","45 sold"
"1737812818-3","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Bermuda Pria Terrex Endless Mountain by ADD -Camo Grey","409.000","1 sold"
"1737812818-4","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Pendek Pria Slim Fit Tailored - Grey","128.725","16 sold"
"1737812818-5","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Pendek Katun Pria Heritage Logo Tape Fleece by AEP","132.240","17 sold"
"1737812818-6","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Chino Pendek Pria Straight Fit Linen-Cotton by PRL","199.000","3 sold"
"1737812818-7","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","COL Men's PFG Backcast III™️ Water Shorts","130.680","15 sold"
"1737812818-8","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Pendek Olahraga Pria Stretchtech Workout Shorts by OLN - Black/White","99.701","50 sold"
"1737812818-9","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Chino Pendek Pria Stretch Classic Fit by PRL","199.000","4 sold"
"1737812818-10","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","Celana Pendek Pria Stretch Slim Fit by PRL - Anchor Blue","209.000","4 sold"
"1737812818-11","https://shopee.co.id/originale_jkt?page=0&shopCollection=249899960","ADD X NRD Camouflage Champ Shorts","209.900","2 sold"
